date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:59:30	152598/152598	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/agency-landing/logo.png	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/agency-landing/logo.png	(from https://powhcoin.com/)
16:59:31	13128/13128	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/index2.html	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/index2.html	(from https://powhcoin.com/)
16:59:31	5512/5512	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/index3.html	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/index3.html	(from https://powhcoin.com/)
16:59:31	292873/292873	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/triangly.jpg	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/triangly.jpg	(from https://powhcoin.com/)
16:59:31	26649/26649	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/index.html	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/index-2.html	(from https://powhcoin.com/)
16:59:31	18122/18122	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/2wqZQMDq_400x400.jpg	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/2wqZQMDq_400x400.jpg	(from https://powhcoin.com/)
16:59:32	9453/9453	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/0b51f74.jpg	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/0b51f74.jpg	(from https://powhcoin.com/)
16:59:32	74391/74391	---M--	200	added ('OK')	image/png	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/Untitled.png	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/Untitled.png	(from https://powhcoin.com/)
16:59:32	106938/106938	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/satoshi.jpg	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/satoshi.jpg	(from https://powhcoin.com/)
16:59:32	19034/19034	---M--	200	added ('OK')	image/jpeg	date:Mon,%2029%20Jan%202018%2014:04:39%20GMT	https://powhcoin.com/images/Gregory-Maxwell.jpg	D:/Imajs/crab16/PoWHcrab16/powhcoin.com/images/Gregory-Maxwell.jpg	(from https://powhcoin.com/)
